drug_name,letter,has_ai_editorial,source_document_count,agencies
"Luliconazole",L,yes,1,FDA
"Lumasiran",L,yes,1,TGA
"Lumateperone",L,yes,1,FDA
"Lurasidone",L,yes,1,TGA
"lurbinectedin",L,yes,4,FDA;TGA
"Luspatercept",L,yes,1,FDA
"lusutrombopag",L,yes,1,FDA
"Lutetium Lu 177 dotatate",L,yes,1,FDA
"Lutetium Lu 177 vipivotide tetraxetan",L,yes,1,FDA
"Lutropin alfa",L,yes,1,TGA
"macimorelin",M,yes,1,FDA
"Macitentan",M,yes,4,Other;PMDA;TGA
"Macitentan with tadalafil",M,no,2,Other;PMDA
"macrogol + potassium + sodium + sodium + magnesium + citric + bisacodyl",M,yes,1,TGA
"Macrogol laxatives",M,no,3,Other;PMDA
"mafenide",M,yes,1,FDA
"magnesium carbonate",M,no,1,PMDA
"magnesium chloride",M,no,1,PMDA
"magnesium citrate",M,yes,2,FDA;PMDA
"magnesium hydroxide",M,no,2,Other;PMDA
"magnesium oxide",M,yes,1,FDA
"magnesium salicylate",M,yes,1,FDA
"Magnesium sulfate",M,yes,1,TGA
"malathion",M,yes,1,FDA
"Mannitol",M,yes,1,TGA
"maralixibat",M,yes,1,FDA
"Maraviroc",M,yes,1,TGA
"margetuximab",M,yes,1,FDA
"Maribavir",M,yes,1,TGA
"marstacimab",M,yes,1,FDA
"matricaria + hyoscyamus + strychnos + sodium + passiflora + sepia + valeriana",M,yes,1,FDA
"Mavacamten",M,yes,1,TGA
"mavorixafor",M,yes,1,FDA
"measles + attenuated) + mumps + attenuated) + rubella + attenuated)",M,yes,1,FDA
"measles + attenuated) + mumps + attenuated) + rubella + attenuated) + varicella-zoster + attenuated)",M,yes,1,TGA
"Mebendazole",M,yes,1,FDA
"Mebeverine",M,yes,1,TGA
"mecamylamine",M,yes,1,FDA
"Mecasermin",M,yes,1,TGA
"mechlorethamine",M,yes,1,FDA
"meclizine",M,yes,1,FDA
"meclofenamate",M,yes,1,FDA
"mecobalamin",M,yes,1,TGA
"Medroxyprogesterone",M,yes,1,TGA
"medrysone",M,yes,1,FDA
"Mefenamic acid",M,yes,1,TGA
"Mefloquine",M,yes,1,TGA
"Megestrol",M,yes,1,FDA
"Melatonin",M,yes,1,TGA
"melissa + melaleuca + eucalyptus",M,yes,1,FDA
"Meloxicam",M,yes,1,TGA
"meloxicam",M,no,1,FDA
"Melphalan",M,yes,1,TGA
"Memantine",M,yes,1,TGA
"menotropins",M,yes,1,FDA
"menthol + lidocaine + magnesium",M,yes,1,FDA
"meperidine",M,yes,1,FDA
"mepivacaine",M,yes,2,FDA;TGA
"Mepolizumab",M,yes,1,TGA
"meprobamate",M,yes,1,FDA
"Mercaptopurine",M,yes,1,TGA
"Meropenem",M,yes,1,TGA
"Mesalazine",M,yes,1,TGA
"Mesna",M,yes,1,TGA
"metamizole",M,yes,1,FDA
"Metaraminol",M,yes,1,TGA
"metaxalone",M,yes,1,FDA
"Metformin",M,yes,1,TGA
"methacholine",M,yes,1,FDA
"Methadone",M,yes,1,TGA
"methamphetamine",M,yes,1,FDA
"methazolamide",M,yes,1,FDA
"Methenamine hippurate",M,yes,1,TGA
"methenamine mandelate",M,yes,1,FDA
"methimazole",M,yes,1,FDA
"methocarbamol",M,yes,1,FDA
"methohexital",M,yes,1,FDA
"methotrexate",M,yes,1,FDA
"Methoxsalen",M,yes,1,TGA
"methoxy polyethylene glycol-epoetin beta",M,yes,2,TGA
"Methoxyflurane",M,yes,1,TGA
"methscopolamine",M,yes,1,FDA
"methsuximide",M,yes,1,FDA
"methyl + camphor + levomenthol",M,yes,1,FDA
"Methyl aminolevulinate",M,yes,1,TGA
"methylcellulose",M,yes,1,FDA
"Methyldopa",M,yes,1,TGA
"Methylene blue",M,yes,1,TGA
"methylergonovine",M,yes,1,FDA
"Methylnaltrexone",M,yes,1,TGA
"Methylphenidate",M,yes,1,TGA
"methylphenidate hydrochloride",M,yes,2,FDA
"Methylprednisolone",M,yes,1,TGA
"metolazone",M,yes,2,FDA
"Metoprolol",M,yes,1,TGA
"metreleptin",M,yes,1,FDA
"Metronidazole",M,yes,1,TGA
"Metronidazole (vaginal)",M,yes,1,FDA
"Metyrapone",M,yes,1,TGA
"metyrosine",M,yes,1,FDA
"mexiletine",M,yes,1,FDA
"Mianserin",M,yes,1,TGA
"Micafungin",M,yes,1,TGA
"Miconazole",M,yes,1,FDA
"Midodrine",M,yes,1,TGA
"Midostaurin",M,yes,1,TGA
"mifepristone + misoprostol",M,yes,1,TGA
"Migalastat",M,yes,1,TGA
"miglitol",M,yes,1,FDA
"Miglustat",M,yes,1,TGA
"miglustat",M,no,3,FDA;TGA
"milnacipran",M,yes,2,FDA;TGA
"Milrinone",M,yes,1,TGA
"miltefosine",M,yes,1,FDA
"mineral oil",M,yes,1,FDA
"Minocycline",M,yes,1,TGA
"minocycline",M,no,1,FDA
"Minoxidil",M,yes,1,TGA
"Mirabegron",M,yes,1,TGA
"mirikizumab",M,yes,1,FDA
"Mirtazapine",M,yes,1,TGA
"mirvetuximab soravtansine",M,yes,2,FDA;TGA
"mitapivat",M,yes,1,FDA
"Mitomycin",M,yes,1,TGA
"mitotane",M,yes,1,FDA
"Mitozantrone",M,yes,1,TGA
"Mivacurium",M,yes,1,TGA
"Moclobemide",M,yes,1,TGA
"Modafinil",M,yes,1,TGA
"moexipril",M,yes,1,FDA
"mogamulizumab",M,yes,2,FDA;TGA
"molindone",M,yes,1,FDA
"Molnupiravir",M,yes,1,TGA
"Momelotinib",M,yes,1,TGA
"monobasic potassium phosphate",M,yes,1,TGA
"Montelukast",M,yes,1,TGA
"moroctocog alfa",M,yes,1,TGA
"Morphine",M,yes,1,TGA
"morphine",M,no,1,FDA
"mosunetuzumab",M,yes,1,FDA
"motixafortide",M,yes,1,FDA
"moxetumomab pasudotox",M,yes,1,FDA
"Moxifloxacin",M,yes,1,TGA
"moxifloxacin (ophthalmic)",M,yes,1,FDA
"Moxonidine",M,yes,1,TGA
"Mycophenolate",M,yes,1,TGA
"nabilone",N,yes,1,FDA
"nabumetone",N,yes,2,FDA;PMDA
"nadofaragene firadenovec",N,yes,1,FDA
"nadolol",N,yes,2,FDA;PMDA
"nafamostat",N,no,2,Other;PMDA
"Nafarelin",N,yes,1,TGA
"nafcillin",N,yes,1,FDA
"naftifine",N,yes,1,FDA
"nalbuphine",N,yes,1,FDA
"naldemedine",N,yes,1,FDA
"nalmefene",N,yes,1,FDA
"naloxegol",N,yes,1,FDA
"Naltrexone",N,yes,1,TGA
"naltrexone + bupropion",N,yes,1,TGA
"nandrolone",N,yes,2,FDA;TGA
"Naphazoline",N,yes,1,TGA
"naphazoline + pheniramine",N,yes,1,FDA
"Naproxen",N,yes,1,TGA
"naproxen and esomeprazole",N,yes,1,FDA
"Naratriptan",N,yes,1,TGA
"Natalizumab",N,yes,1,TGA
"Natamycin",N,yes,1,FDA
"nateglinide",N,yes,1,FDA
"naxitamab",N,yes,1,FDA
"Nebivolol",N,yes,1,TGA
"nefazodone",N,yes,1,FDA
"Nelarabine",N,yes,1,TGA
"nelfinavir",N,yes,1,FDA
"neomycin",N,yes,1,FDA
"neomycin + polymyxin + gramicidin",N,yes,1,FDA
"neomycin and polymyxin b",N,yes,1,FDA
"neomycin, polymyxin b, and dexamethasone",N,yes,1,FDA
"neomycin, polymyxin b, and gramicidin",N,yes,1,FDA
"neomycin, polymyxin b, and hydrocortisone",N,yes,1,FDA
"Nepafenac",N,yes,1,TGA
"neratinib",N,yes,2,FDA;TGA
"netarsudil",N,yes,1,FDA
"netarsudil and latanoprost",N,yes,1,FDA
"netupitant + palonosetron",N,yes,1,TGA
"Nevirapine",N,yes,1,TGA
"nicardipine",N,yes,1,FDA
"Nicorandil",N,yes,1,TGA
"Nicotine",N,yes,1,TGA
"Nicotinic acid",N,yes,1,TGA
"Nifedipine",N,yes,1,TGA
"nifurtimox",N,yes,1,FDA
"Nilotinib",N,yes,1,TGA
"nilutamide",N,yes,1,FDA
"Nimodipine",N,yes,1,TGA
"Nintedanib",N,yes,1,TGA
"Niraparib",N,yes,1,TGA
"niraparib",N,no,2,FDA;TGA
"niraparib and abiraterone",N,yes,1,FDA
"Nirmatrelvir and ritonavir",N,yes,1,TGA
"nirogacestat",N,yes,1,FDA
"Nirsevimab",N,yes,1,TGA
"nisoldipine",N,yes,1,FDA
"Nitazoxanide",N,yes,1,FDA
"Nitisinone",N,yes,1,TGA
"Nitrazepam",N,yes,1,TGA
"nitric oxide",N,yes,2,FDA;TGA
"Nitrofurantoin",N,yes,1,TGA
"nitrofurazone",N,yes,1,FDA
"nitroglycerin",N,yes,1,FDA
"Nitrous oxide",N,yes,1,TGA
"Nivolumab",N,yes,1,TGA
"nivolumab + relatlimab",N,yes,2,FDA;TGA
"Nizatidine",N,yes,1,TGA
"non-standardized allergenic extracts",N,yes,1,FDA
"non-standardized allergenic extracts (pollens",N,yes,1,FDA
"nonacog alfa",N,yes,1,TGA
"norelgestromin and ethinyl estradiol",N,yes,1,FDA
"norethisterone + mestranol",N,yes,1,TGA
"Norfloxacin",N,yes,1,TGA
"norgestimate and ethinyl estradiol",N,yes,1,FDA
"norgestrel",N,yes,1,FDA
"norgestrel and ethinyl estradiol",N,yes,1,FDA
"Nortriptyline",N,yes,1,TGA
"Nusinersen",N,yes,1,TGA
"nystatin and triamcinolone",N,yes,1,FDA
"Obeticholic acid",O,yes,3,Other;PMDA;TGA
"obiltoxaximab",O,yes,1,FDA
"Obinutuzumab",O,yes,5,Other;PMDA;TGA
"Ocrelizumab",O,yes,5,Other;PMDA;TGA
"ocriplasmin",O,yes,3,Other;TGA
"octinoxate + octocrylene + octisalate + avobenzone",O,yes,1,FDA
"octisalate + titanium",O,yes,1,FDA
"octocog alfa",O,yes,5,Other;PMDA;TGA
"octocrylene + octisalate + homosalate + avobenzone",O,yes,1,FDA
"Octreotide",O,yes,3,Other;PMDA;TGA
"Ocular lubricants",O,no,1,PMDA
"odevixibat",O,yes,3,FDA;PMDA;TGA
"Ofatumumab",O,yes,2,PMDA;TGA
"Ofloxacin",O,yes,3,Other;PMDA;TGA
"Ofloxacin (eye)",O,no,2,Other;PMDA
"Olanzapine",O,yes,1,TGA
"olanzapine",O,no,1,TGA
"olanzapine and fluoxetine",O,yes,1,FDA
"olanzapine and samidorphan",O,yes,1,FDA
"olanzapine pamoate",O,yes,1,FDA
"Olaparib",O,yes,1,TGA
"oliceridine",O,yes,1,FDA
"olmesartan + amlodipine",O,yes,1,TGA
"olmesartan + hydrochlorothiazide",O,yes,1,TGA
"Olopatadine",O,yes,1,TGA
"Olsalazine",O,yes,1,TGA
"olutasidenib",O,yes,1,FDA
"omadacycline",O,yes,1,FDA
"Omalizumab",O,yes,1,TGA
"omalizumab",O,no,2,FDA;TGA
"omaveloxolone",O,yes,2,FDA;TGA
"Omeprazole",O,yes,1,TGA
"omeprazole + sodium",O,yes,1,FDA
"omeprazole and sodium bicarbonate",O,yes,1,FDA
"omeprazole, amoxicillin, and rifabutin",O,yes,1,FDA
"omidubicel",O,yes,1,FDA
"onabotulinumtoxinA",O,yes,1,FDA
"onasemnogene abeparvovec",O,yes,3,FDA;TGA
"onasemnogene abeparvovec-xioi",O,yes,1,FDA
"Ondansetron",O,yes,1,TGA
"ondansetron",O,no,1,TGA
"Opicapone",O,yes,1,TGA
"oritavancin",O,yes,1,FDA
"Orlistat",O,yes,1,TGA
"orlistat",O,no,2,FDA;TGA
"Orphenadrine",O,yes,1,TGA
"orphenadrine, aspirin, and caffeine",O,yes,1,FDA
"Oseltamivir",O,yes,1,TGA
"Osilodrostat",O,yes,1,TGA
"Osimertinib",O,yes,1,TGA
"ospemifene",O,yes,1,FDA
"oteseconazole",O,yes,1,FDA
"oxacillin",O,yes,1,FDA
"Oxaliplatin",O,yes,1,TGA
"oxandrolone",O,yes,1,FDA
"oxaprozin",O,yes,1,FDA
"Oxazepam",O,yes,1,TGA
"Oxcarbazepine",O,yes,1,TGA
"oxiconazole",O,yes,1,FDA
"oxitriptan + 5-hydroxytryptophan + acetylcholinesterase + choline + dopamine + glutamic + glycine + histidine + levodopa + malvin + melanin + melatonin + nitric + norepinephrine + octopamine + o-methyl + phenylalanine + serotonin + taurine + tryptophan + tyrosine",O,yes,1,FDA
"Oxybuprocaine",O,yes,1,TGA
"Oxybutynin",O,yes,1,TGA
"oxycodone",O,no,1,FDA
"oxycodone + naloxone",O,yes,2,TGA
"oxycodone and acetaminophen",O,yes,1,FDA
"oxycodone and aspirin",O,yes,1,FDA
"Oxymetazoline",O,yes,1,FDA
"oxymorphone",O,yes,1,FDA
"oxytetracycline",O,yes,1,FDA
"Oxytocin",O,yes,1,TGA
"Ozanimod",O,yes,1,TGA
"ozanimod",O,no,2,FDA;TGA
"Paclitaxel",P,yes,3,Other;PMDA;TGA
"pacritinib",P,yes,1,FDA
"pafolacianine",P,yes,1,FDA
"Palbociclib",P,yes,3,Other;PMDA;TGA
"Palifermin",P,yes,1,FDA
"Paliperidone",P,yes,3,Other;PMDA;TGA
"Palivizumab",P,yes,5,Other;PMDA;TGA
"Palonosetron",P,no,5,Other;PMDA
"Palovarotene",P,yes,2,PMDA;TGA
"Pamidronate",P,yes,5,Other;PMDA;TGA
"Pancreatic enzymes",P,no,4,Other;PMDA
"pancrelipase",P,yes,7,FDA;Other;PMDA;TGA
"Panitumumab",P,yes,1,TGA
"panobinostat",P,yes,1,FDA
"Pantoprazole",P,yes,1,TGA
"Papaverine",P,yes,1,TGA
"paracetamol + codeine",P,yes,1,TGA
"paracetamol + codeine + doxylamine",P,yes,1,TGA
"paracetamol + diphenhydramine",P,yes,1,TGA
"paracetamol + metoclopramide",P,yes,1,TGA
"Parecoxib",P,yes,1,TGA
"paricalcitol",P,yes,2,FDA
"Paromomycin",P,yes,1,FDA
"Paroxetine",P,yes,1,TGA
"Pasireotide",P,yes,1,TGA
"Patiromer",P,yes,1,TGA
"Patisiran",P,yes,1,TGA
"Pazopanib",P,yes,1,TGA
"pectin",P,yes,1,FDA
"Pegaspargase",P,yes,1,TGA
"Pegcetacoplan",P,yes,1,TGA
"Pegfilgrastim",P,yes,1,TGA
"pegfilgrastim",P,no,2,FDA;TGA
"Peginterferon alfa-2a",P,yes,1,TGA
"peginterferon beta-1a",P,yes,2,FDA;TGA
"pegloticase",P,yes,1,FDA
"pegunigalsidase alfa",P,yes,2,FDA;TGA
"pegvaliase",P,yes,2,FDA;TGA
"Pegvisomant",P,yes,1,TGA
"Pembrolizumab",P,yes,1,TGA
"Pemetrexed",P,yes,1,TGA
"pemigatinib",P,yes,2,FDA;TGA
"pemivibart",P,yes,1,FDA
"penciclovir",P,yes,1,FDA
"Penicillamine",P,yes,1,TGA
"penicillin + penicillin",P,yes,1,FDA
"penicillin G benzathine",P,yes,1,FDA
"penicillin G potassium",P,yes,1,FDA
"penicillin G procaine",P,yes,1,FDA
"penicillin g sodium",P,yes,1,FDA
"pentagastrin",P,yes,1,FDA
"Pentamidine",P,yes,1,TGA
"pentazocine + naloxone",P,yes,1,FDA
"pentetate calcium trisodium",P,yes,1,FDA
"pentetate zinc trisodium",P,yes,1,FDA
"pentobarbital",P,yes,1,FDA
"Pentosan polysulfate",P,yes,1,TGA
"pentostatin",P,yes,1,FDA
"Pentoxifylline",P,yes,1,FDA
"peppermint + glycerin + activated + sodium + borneol",P,yes,1,FDA
"peppers + garlic + garlic + capsicum + oregano + linseed + wheat",P,yes,1,FDA
"Peramivir",P,yes,1,TGA
"Perampanel",P,yes,1,TGA
"perflutren",P,yes,1,TGA
"perflutren + albumin",P,yes,1,FDA
"pergolide",P,yes,1,FDA
"Perhexiline",P,yes,1,TGA
"perindopril + amlodipine",P,yes,1,TGA
"Permethrin",P,yes,1,FDA
"perphenazine",P,yes,1,FDA
"Pertuzumab",P,yes,1,TGA
"Pethidine",P,yes,1,TGA
"petrolatum",P,yes,1,FDA
"pexidartinib",P,yes,1,FDA
"phenazopyridine",P,yes,1,FDA
"phendimetrazine",P,yes,1,FDA
"Phenelzine",P,yes,1,TGA
"Phenobarbital",P,yes,1,TGA
"Phenoxybenzamine",P,yes,1,TGA
"Phenoxymethylpenicillin",P,yes,1,TGA
"Phentermine",P,yes,1,TGA
"phentermine + topiramate",P,yes,1,FDA
"Phentolamine",P,yes,1,FDA
"Phenylephrine",P,yes,1,TGA
"phenylephrine + petrolatum + mineral",P,yes,1,FDA
"phenylpropanolamine",P,yes,1,FDA
"Phenytoin",P,yes,1,TGA
"phosphorus + sulfur + arnica + graphite + lycopodium + pilocarpus + phosphoric + arsenic",P,yes,1,FDA
"physostigmine",P,yes,1,FDA
"phytonadione",P,yes,1,FDA
"Pilocarpine",P,yes,1,TGA
"pilocarpine hydrochloride",P,yes,1,FDA
"pimavanserin",P,yes,1,FDA
"Pimecrolimus",P,yes,1,TGA
"pimozide",P,yes,1,FDA
"pindolol",P,yes,1,FDA
"Pioglitazone",P,yes,1,TGA
"piperacillin + tazobactam",P,yes,1,FDA
"piperazine",P,yes,1,FDA
"Pirfenidone",P,yes,1,TGA
"Piroxicam",P,yes,1,TGA
"pirtobrutinib",P,yes,2,FDA;TGA
"pitavastatin",P,yes,1,FDA
"pitolisant",P,yes,2,FDA
"pivmecillinam",P,yes,1,FDA
"Pizotifen",P,yes,1,TGA
"plazomicin",P,yes,1,FDA
"plecanatide",P,yes,1,FDA
"Plerixafor",P,yes,1,TGA
"pneumococcal 15-valent conjugate vaccine (CRM197 protein)",P,yes,1,TGA
"pneumococcal 15‑valent conjugate vaccine (crm197 protein)",P,yes,1,FDA
"Polatuzumab vedotin",P,yes,1,TGA
"polidocanol",P,yes,1,FDA
"Poloxamer",P,yes,1,FDA
"polyethylene glycol",P,yes,1,FDA
"polythiazide + reserpine",P,yes,1,FDA
"Pomalidomide",P,yes,1,TGA
"Ponatinib",P,yes,1,TGA
"ponesimod",P,yes,1,FDA
"Poractant alfa",P,yes,1,TGA
"porfimer",P,yes,1,FDA
"Posaconazole",P,yes,1,TGA
"potassium acetate",P,yes,1,TGA
"potassium bicarbonate",P,yes,2,FDA;TGA
"potassium chloride",P,yes,1,FDA
"potassium citrate",P,yes,1,FDA
"potassium gluconate",P,yes,1,FDA
"potassium phosphate",P,yes,1,FDA
"povidone iodine",P,yes,1,FDA
"pozelimab",P,yes,1,FDA
"Pralatrexate",P,yes,1,TGA
"Pralidoxime",P,yes,1,FDA
"pralsetinib",P,yes,1,FDA
"Pramipexole",P,yes,1,TGA
"pramlintide",P,yes,1,FDA
"pramoxine + zinc",P,yes,1,FDA
"Prasterone",P,yes,1,TGA
"Prasugrel",P,yes,1,TGA
"Pravastatin",P,yes,1,TGA
"Prazosin",P,yes,1,TGA
"prednisone",P,yes,2,FDA;TGA
"Pregabalin",P,yes,1,TGA
"pretomanid",P,yes,1,FDA
"prilocaine + felypressin",P,yes,1,TGA
"Primaquine",P,yes,1,TGA
"Primidone",P,yes,1,TGA
"Probenecid",P,yes,1,TGA
"procainamide",P,yes,1,FDA
"Procarbazine",P,yes,1,TGA
"Prochlorperazine",P,yes,1,TGA
"Promethazine",P,yes,1,TGA
"propafenone",P,yes,1,FDA
"Propantheline",P,yes,1,TGA
"proparacaine",P,yes,1,FDA
"Propofol",P,yes,1,TGA
"Propranolol",P,yes,1,TGA
"Propylthiouracil",P,yes,1,TGA
"Protamine",P,yes,1,TGA
"prothrombin + factor + factor + factor + factor + protein + protein",P,yes,1,FDA
"protirelin",P,yes,1,FDA
"protriptyline",P,yes,1,FDA
"Proxymetacaine",P,yes,1,TGA
"Prucalopride",P,yes,1,TGA
"psyllium",P,yes,1,FDA
"Pyrazinamide",P,yes,1,TGA
"Pyridostigmine",P,yes,1,TGA
"Pyrimethamine",P,yes,1,FDA
"pyrithione zinc",P,yes,1,FDA
"Qinlock",Q,no,4,Other;PMDA
"qivigy",Q,no,1,PMDA
"quazepam",Q,yes,1,FDA
"Quetiapine",Q,yes,1,TGA
"quinapril",Q,yes,2,FDA;TGA
"Quinine",Q,yes,1,TGA
"quizartinib",Q,yes,1,FDA
"Rabeprazole",R,yes,4,Other;PMDA;TGA
"Rabies immunoglobulin",R,yes,1,TGA
"Rabies vaccine",R,yes,4,FDA;Other;PMDA
"racepinephrine",R,yes,1,FDA
"radioactive iodine",R,no,1,PMDA
"radium Ra 223 dichloride",R,yes,4,FDA;Other;PMDA
"radium ra 223 dichloride",R,no,1,FDA
"radium-223 dichloride",R,yes,1,TGA
"Raloxifene",R,yes,1,TGA
"Raltegravir",R,yes,1,TGA
"Raltitrexed",R,yes,1,TGA
"Ramipril",R,yes,1,TGA
"ramucirumab",R,yes,2,FDA;TGA
"Ranibizumab",R,yes,1,TGA
"Ranitidine",R,yes,1,TGA
"ranolazine",R,yes,1,FDA
"Rasagiline",R,yes,1,TGA
"Rasburicase",R,yes,1,TGA
"Ravulizumab",R,yes,1,TGA
"raxibacumab",R,yes,1,FDA
"Reboxetine",R,yes,1,TGA
"recombinant + recombinant",R,yes,1,TGA
"Red back spider antivenom",R,yes,1,TGA
"regadenoson",R,yes,2,FDA
"Regorafenib",R,yes,1,TGA
"relacorilant",R,yes,1,FDA
"relugolix",R,yes,1,FDA
"relugolix + estradiol + norethisterone",R,yes,1,TGA
"Remdesivir",R,yes,1,TGA
"Remifentanil",R,yes,1,TGA
"remimazolam",R,yes,1,FDA
"repaglinide",R,yes,1,FDA
"repotrectinib",R,yes,2,FDA;TGA
"reserpine",R,yes,1,FDA
"reslizumab",R,yes,1,FDA
"resmetirom",R,yes,1,FDA
"retapamulin",R,yes,1,FDA
"retifanlimab",R,yes,1,FDA
"retifanlimab-dlwr",R,yes,1,FDA
"retinol + colecalciferol + dl-alpha-tocopherol + ascorbic + cocarboxylase + riboflavin + pyridoxine + cyanocobalamin + folic + dexpanthenol + biotin + nicotinamide",R,yes,1,TGA
"retinol + ergocalciferol + dl-alpha-tocopherol + phytomenadione",R,yes,1,TGA
"retinyl palmitate",R,yes,1,TGA
"revefenacin",R,yes,2,FDA
"rezafungin",R,yes,1,FDA
"rh(d) immune globulin (human)",R,yes,1,FDA
"ribavirin",R,yes,2,FDA;TGA
"Ribociclib",R,yes,1,TGA
"Rifabutin",R,yes,1,TGA
"Rifampicin",R,yes,1,TGA
"rifapentine",R,yes,1,FDA
"Rifaximin",R,yes,1,TGA
"rifaximin",R,no,2,FDA;TGA
"rilonacept",R,yes,1,FDA
"Riluzole",R,yes,1,TGA
"rimantadine",R,yes,1,FDA
"Rimegepant",R,yes,1,TGA
"Riociguat",R,yes,1,TGA
"Ripretinib",R,yes,1,TGA
"ripretinib",R,no,2,FDA;TGA
"Risankizumab",R,yes,1,TGA
"Risdiplam",R,yes,1,TGA
"Risedronate",R,yes,1,TGA
"Risperidone",R,yes,1,TGA
"ritlecitinib",R,yes,2,FDA;TGA
"Rituximab",R,yes,1,TGA
"Rivaroxaban",R,yes,1,TGA
"rivaroxaban",R,no,2,FDA;TGA
"Rivastigmine",R,yes,1,TGA
"Rizatriptan",R,yes,1,TGA
"Rocuronium",R,yes,1,TGA
"roflumilast",R,yes,2,FDA
"rolapitant",R,yes,1,FDA
"Romidepsin",R,yes,1,TGA
"Romiplostim",R,yes,1,TGA
"Romosozumab",R,yes,1,TGA
"ropeginterferon alfa-2b",R,yes,1,FDA
"Ropinirole",R,yes,1,TGA
"Ropivacaine",R,yes,1,TGA
"rosiglitazone + metformin",R,yes,2,FDA;TGA
"Rosuvastatin",R,yes,1,TGA
"Rotavirus vaccine",R,yes,1,FDA
"Rotigotine",R,yes,1,TGA
"Roxithromycin",R,yes,1,TGA
"Rozanolixizumab",R,yes,1,TGA
"rucaparib",R,yes,1,FDA
"Rufinamide",R,yes,1,TGA
"rurioctocog alfa",R,yes,1,TGA
"Ruxolitinib",R,yes,1,TGA
"Sacituzumab govitecan",S,yes,2,PMDA;TGA
"Sacubitril with valsartan",S,no,2,Other;PMDA
"Safinamide",S,yes,2,PMDA;TGA
"Salbutamol",S,yes,2,PMDA;TGA
"Salbutamol (obstetrics)",S,no,1,PMDA
"Salicylic acid",S,no,1,PMDA
"Saline laxatives",S,no,2,Other;PMDA
"Salmeterol",S,no,3,Other;PMDA
"Sapropterin",S,yes,4,Other;PMDA;TGA
"Satralizumab",S,yes,4,Other;PMDA;TGA
"Saxagliptin",S,yes,5,Other;PMDA
"saxagliptin + dapagliflozin",S,yes,1,TGA
"saxagliptin + metformin",S,yes,1,TGA
"Saxagliptin with dapagliflozin",S,no,4,Other
"Sea snake antivenom",S,yes,1,TGA
"Sebelipase alfa",S,yes,1,TGA
"Secukinumab",S,yes,1,TGA
"Selegiline",S,yes,1,TGA
"selenium + chaste + turnera + phosphoric + american + scutellaria + saw + dieffenbachia + yohimbine",S,yes,1,FDA
"Selexipag",S,yes,1,TGA
"Selinexor",S,yes,1,TGA
"selinexor",S,no,2,FDA;TGA
"Selpercatinib",S,yes,1,TGA
"Selumetinib",S,yes,1,TGA
"Semaglutide",S,yes,1,TGA
"semaglutide",S,no,2,FDA;TGA
"sennosides (sennosides A and B)",S,yes,1,FDA
"serdexmethylphenidate + dexmethylphenidate",S,yes,1,FDA
"Sertraline",S,yes,1,TGA
"sertraline",S,no,1,TGA
"sertraline hydrochloride",S,yes,1,FDA
"Sevelamer",S,yes,1,TGA
"Sevoflurane",S,yes,1,TGA
"Silodosin",S,yes,1,TGA
"Siltuximab",S,yes,1,TGA
"silver sulfadiazine",S,no,1,TGA
"Silver sulfadiazine",S,yes,1,TGA
"simvastatin",S,yes,2,FDA;TGA
"Siponimod",S,yes,1,TGA
"Sirolimus",S,yes,1,TGA
"sitagliptin + metformin",S,yes,1,TGA
"sodium + magnesium + citric",S,yes,1,TGA
"sodium + sodium + sodium + sodium + sodium + sodium + sodium + sodium + sodium",S,yes,1,FDA
"Sodium bicarbonate (ear)",S,yes,1,FDA
"sodium cromoglycate",S,yes,1,TGA
"Sodium fusidate",S,yes,1,TGA
"Sodium nitroprusside",S,yes,1,TGA
"sodium nitroprusside",S,no,2,FDA;TGA
"sodium oxybate",S,yes,1,FDA
"Sodium phenylbutyrate",S,yes,1,TGA
"Sodium tetradecyl sulfate",S,yes,1,TGA
"sodium valproate",S,yes,1,TGA
"sofosbuvir + velpatasvir + voxilaprevir",S,yes,2,FDA;TGA
"Solifenacin",S,yes,1,TGA
"Somatrogon",S,yes,1,TGA
"Somatropin",S,yes,1,TGA
"somatropin",S,no,1,FDA
"Sonidegib",S,yes,1,TGA
"Sorafenib",S,yes,1,TGA
"Sotalol",S,yes,1,TGA
"sotatercept",S,yes,1,TGA
"sotatercept-csrk",S,yes,2,FDA
"Sotorasib",S,yes,1,TGA
"Spesolimab",S,yes,1,FDA
"Spironolactone",S,yes,1,TGA
"sterile water for irrigation",S,yes,1,FDA
"Stiripentol",S,yes,1,TGA
"Stonefish antivenom",S,yes,1,TGA
"Streptomycin",S,yes,1,FDA
"strychnos + histamine + potassium + goldenseal + atropa + teucrium + ephedra",S,yes,1,FDA
"succinylcholine chloride",S,yes,1,FDA
"Sucralfate",S,yes,1,FDA
"Sucroferric oxyhydroxide",S,yes,1,TGA
"Sufentanil",S,yes,1,FDA
"Sugammadex",S,yes,1,TGA
"Sulfasalazine",S,yes,1,TGA
"sulfathiazole + malachite + nitrofurantoin + nitrofurazone + quinacrine",S,yes,1,FDA
"Sulthiame",S,yes,1,TGA
"Sumatriptan",S,yes,1,TGA
"Sunitinib",S,yes,1,TGA
"Suvorexant",S,yes,1,TGA
"Suxamethonium",S,yes,1,TGA
"Tacrolimus",T,yes,1,TGA
"Tafamidis",T,yes,1,TGA
"Tafenoquine",T,yes,4,Other;PMDA;TGA
"tafluprost",T,yes,6,FDA;Other;PMDA;TGA
